NodeID,StoreName,IsDeleted,CategoryName,SectorName,SubSectorName,SectorFourName,DEFAULTSTARTDATE,DEFAULTEXPIRYDATE,idx
1S-10,Gant,0,服装服饰,男女集合,国际休闲,国际休闲,2017/1/1,2019/12/31,73
1S-11,GUESS,0,服装服饰,男女集合,国际休闲,国际休闲,2014/11/29,2020/5/15,37
1S-12,Armani Exchange,0,服装服饰,男女集合,国内休闲,国内休闲,2017/12/29,2020/12/28,130
1S-13,Evisu,0,生活精品,时尚潮流,潮流集合,潮流集合,2014/11/29,2020/6/30,23
1S-14,G-STAR,0,生活精品,时尚潮流,潮流集合,潮流集合,2017/8/29,2020/8/28,6
1S-15,AIGLE,0,生活精品,运动,户外运动,户外运动,2017/11/29,2020/8/28,117
1S-16,Hazzys,0,服装服饰,男女集合,国际休闲,国际休闲,2017/12/29,2020/8/28,118
1S-17,VICTORIA'S SECRET,0,生活精品,家居家用,内衣袜品,内衣家居服,2019/6/29,2024/6/28,153
1S-18,ochirly,0,服装服饰,女装,少淑女,少淑女,2014/11/29,2020/6/30,110
1S-19,tanni,0,服装服饰,女装,淑女,淑女,2017/8/29,2020/8/28,90
1S-20,MO&Co.,0,服装服饰,女装,少淑女,少淑女,2017/9/22,2020/8/28,63
1S-23,XII BASKET,0,服装服饰,女装,少淑女,少淑女,2017/8/29,2020/8/28,111
1S-24,MAGMODE,0,服装服饰,男装,潮流男装,潮流男装,2017/8/29,2020/8/28,135
1S-25,CASIO,0,生活精品,钟表,钟表,单品牌钟表,2014/11/29,2021/8/28,80
1S-26,星巴克,0,餐饮美食,饮品烘焙,咖啡店,咖啡店,2014/11/29,2024/11/28,8
1S-27,小米之家,0,生活精品,数码电子,数码单品,数码单品,2018/3/29,2023/3/28,9
1S-28,SEPHORA,0,生活精品,个人护理,化妆品集合店,化妆品集合店,2014/11/29,2022/11/28,0
1S-29,喜茶,0,餐饮美食,饮品烘焙,奶茶,奶茶,2019/6/1,2024/5/31,44
1S-3,I DO,0,生活精品,黄金珠宝,钻石,钻石,2017/11/29,2020/8/28,85
1S-30,CHARLES&KEITH,0,生活精品,杂品配饰,杂品集合,杂品集合,2014/11/29,2019/12/31,24
1S-31,Gabor,0,生活精品,鞋品箱包,鞋品,女鞋,2018/3/29,2021/3/28,142
1S-32,myomy,0,生活精品,杂品配饰,配饰,其他配饰店,2019/10/1,2020/6/30,101
1S-33,ZARA,0,大型零售,主题集合店,服饰,服饰,2014/11/29,2026/11/28,14
1S-34,innisfree,0,生活精品,个人护理,化妆品,护肤,2014/11/29,2020/6/30,122
1S-35,PANDORA,0,生活精品,杂品配饰,配饰,银饰,2018/3/29,2021/3/28,96
1S-36,UGG,0,生活精品,鞋品箱包,鞋品,鞋类集合店,2017/8/29,2020/8/28,93
1S-37,Miss Sixty,0,服装服饰,男女集合,国际休闲,国际休闲,2014/11/29,2020/6/30,145
1S-38,SWAROVSKI,0,生活精品,杂品配饰,配饰,水晶饰品,2017/8/29,2021/8/28,45
1S-39,CRD,0,生活精品,黄金珠宝,黄金,黄金,2019/8/29,2020/6/30,143
1S-4,FILA,0,生活精品,运动,时尚运动,时尚运动,2017/8/29,2020/8/28,46
1S-40,CK Underwear,0,服装服饰,男女集合,国际休闲,国际休闲,2014/11/29,2020/6/30,151
1S-41,CK JEANS,0,生活精品,时尚潮流,潮流集合,潮流集合,2014/11/29,2020/6/30,13
1S-42,Moussy,1,生活精品,时尚潮流,潮流集合,潮流集合,2014/11/29,2019/11/28,59
1S-44,GUCCI,0,生活精品,鞋品箱包,箱包,背包手袋,2015/10/1,2020/9/30,58
1S-45,BLOVE,0,生活精品,黄金珠宝,钻石,钻石,2019/8/29,2020/6/30,86
1S-46,Leysen1855 莱绅通灵,0,生活精品,黄金珠宝,钻石,钻石,2017/8/29,2020/8/28,134
1S-47,必胜客,0,餐饮美食,洋快餐,洋快餐,洋快餐,2014/11/29,2024/11/28,95
1S-5,Nike Kicks Lounge,0,生活精品,运动,时尚运动,时尚运动,2017/8/29,2020/8/28,7
1S-6,adidas originals,1,生活精品,运动,时尚运动,时尚运动,2014/11/29,2019/11/28,22
1S-7,云迹普洱,0,生活精品,烟酒食品,烟酒茶,茶叶,2018/11/29,2020/6/30,57
1S-8,Yatlas,0,服装服饰,男装,潮流男装,潮流男装,2014/11/29,2020/5/15,48
1S-9,Tommy Hilfiger,0,服装服饰,男女集合,国际休闲,国际休闲,2014/11/29,2020/5/15,129
2S-10,S.DEER,0,服装服饰,女装,少淑女,少淑女,2017/8/29,2020/8/28,78
2S-11,LESS,0,服装服饰,女装,少淑女,少淑女,2017/8/29,2020/8/28,109
2S-12,Donoratico,0,服装服饰,女装,淑女,淑女,2014/11/29,2020/6/30,32
2S-13,Rebecca,0,生活精品,杂品配饰,配饰,头饰,2016/4/10,2020/6/30,139
2S-14,GILLIVO,0,生活精品,鞋品箱包,箱包,背包手袋,2014/11/29,2020/6/30,38
2S-15,播,0,服装服饰,女装,少淑女,少淑女,2014/11/29,2020/6/30,31
2S-16,JNBY,0,服装服饰,女装,少淑女,少淑女,2014/11/29,2020/6/30,82
2S-17,CRZ,0,服装服饰,女装,少淑女,少淑女,2017/8/29,2020/8/28,26
2S-18,LeeMonsan,0,服装服饰,女装,少淑女,少淑女,2017/8/29,2020/8/28,15
2S-19,爱美丽生活馆,0,生活精品,家居家用,内衣袜品,内衣家居服,2017/8/29,2020/6/30,27
2S-20,LINCchic,0,服装服饰,女装,少淑女,少淑女,2017/8/29,2020/8/28,25
2S-21,miidii,0,服装服饰,女装,少淑女,少淑女,2017/8/29,2020/8/28,30
2S-22,范可儿,0,服装服饰,女装,少淑女,少淑女,2018/9/21,2020/9/20,28
2S-23,ONE MORE,0,服装服饰,女装,少淑女,少淑女,2014/11/29,2020/6/30,49
2S-24,LNO,0,生活精品,杂品配饰,配饰,合成饰品,2017/8/29,2020/8/28,106
2S-25,Mini Peace,0,儿童业态,儿童零售,儿童服饰,儿童服饰,2014/11/29,2020/6/30,102
2S-26,gxg.kids,0,儿童业态,儿童零售,儿童服饰,儿童服饰,2014/11/29,2020/6/30,113
2S-27,jnby by JNBY,0,儿童业态,儿童零售,儿童服饰,儿童服饰,2017/8/29,2020/8/28,114
2S-28,Little MO&CO.,0,儿童业态,儿童零售,儿童服饰,儿童服饰,2017/11/29,2020/11/28,166
2S-29,Hello kitty,0,儿童业态,儿童零售,儿童服饰,儿童服饰,2017/11/29,2020/11/28,115
2S-3,HopeShow,0,服装服饰,女装,少淑女,少淑女,2014/11/29,2020/6/30,99
2S-30,kids land,1,儿童业态,儿童零售,文教玩具,玩具玩偶,2014/11/29,2019/10/28,17
2S-31,The Green Party,0,生活精品,杂品配饰,杂品集合,杂品集合,2014/11/29,2021/8/28,10
2S-32,屈臣氏,0,生活精品,个人护理,化妆品集合店,化妆品集合店,2014/11/29,2022/11/28,39
2S-33,KFC,0,餐饮美食,洋快餐,洋快餐,洋快餐,2014/11/29,2024/11/28,92
2S-34,万达宝贝王,0,大型零售,儿童,儿童娱乐,儿童娱乐,2014/11/29,2034/11/28,61
2S-35,指。秀美甲,0,体验业态,专业美护,美睫美甲,美睫美甲,2014/11/29,2021/8/28,158
2S-36,Ooh Dear,0,生活精品,黄金珠宝,其他珠宝,其他珠宝,2018/6/1,2021/2/28,120
2S-37,萱子,0,生活精品,杂品配饰,配饰,合成饰品,2019/10/29,2022/10/28,107
2S-38,阪织屋,0,生活精品,家居家用,内衣袜品,内衣家居服,2017/8/29,2020/8/28,29
2S-39,Jingcl,0,生活精品,杂品配饰,眼镜,功能配镜,2017/8/29,2020/8/28,81
2S-4,OSANI,0,服装服饰,女装,少淑女,少淑女,2014/11/29,2020/6/30,33
2S-40,O‘fir,0,生活精品,杂品配饰,眼镜,功能配镜,2017/8/29,2020/8/28,132
2S-41,AOJO,0,生活精品,杂品配饰,眼镜,功能配镜,2017/8/29,2020/8/28,50
2S-42,LILY,0,服装服饰,女装,少淑女,少淑女,2014/11/29,2020/6/30,40
2S-43,Peace bird(F),0,服装服饰,女装,少淑女,少淑女,2014/11/29,2020/8/28,75
2S-44,林清轩,0,生活精品,个人护理,化妆品集合店,化妆品集合店,2014/11/29,2021/10/28,159
2S-45,TUTUANNA,0,生活精品,家居家用,内衣袜品,内衣家居服,2017/8/29,2020/8/28,97
2S-46,宝岛眼镜,0,生活精品,杂品配饰,眼镜,功能配镜,2019/10/29,2022/10/28,126
2S-47,LALABOBO,0,服装服饰,女装,少淑女,少淑女,2018/6/1,2020/8/28,119
2S-48,美宝莲,0,生活精品,个人护理,化妆品,彩妆,2017/8/29,2020/8/28,98
2S-49,AFU,0,生活精品,个人护理,香薰,香薰,2014/11/29,2020/6/30,160
2S-5,SEDATE,0,服装服饰,女装,少淑女,少淑女,2014/11/29,2020/6/30,34
2S-50,麦檬,0,服装服饰,女装,少淑女,少淑女,2017/8/29,2020/8/28,76
2S-51,Naivee,0,服装服饰,女装,少淑女,少淑女,2017/8/29,2020/8/28,77
2S-54,必胜客,0,餐饮美食,洋快餐,洋快餐,洋快餐,2014/11/29,2024/11/28,137
2S-6,念奴娇,0,服装服饰,女装,少淑女,少淑女,2017/8/29,2020/6/30,94
2S-7,飞鸟和新酒,0,服装服饰,女装,少淑女,少淑女,2018/9/1,2020/8/28,79
2S-8,优贝施,0,生活精品,个人护理,化妆品,药妆,2017/8/29,2020/6/30,150
2S-9,FIVE PLUS,0,服装服饰,女装,少淑女,少淑女,2017/8/29,2020/8/28,16
3S-10,dealuna,0,服装服饰,男装,潮流男装,潮流男装,2014/11/29,2020/6/30,65
3S-11,海澜之家,0,服装服饰,男装,时尚男装,商务休闲,2016/4/1,2021/3/31,36
3S-12,New Era,0,生活精品,杂品配饰,配饰,头饰,2019/8/13,2022/8/12,162
3S-13,LEE,0,生活精品,时尚潮流,潮流集合,潮流集合,2019/8/1,2022/7/31,156
3S-14,peace bird(M),0,服装服饰,男装,潮流男装,潮流男装,2014/11/29,2021/8/28,138
3S-15,CROQUIS,0,服装服饰,男装,潮流男装,潮流男装,2014/11/29,2021/8/28,2
3S-16,Cabbeen Urban,0,服装服饰,男装,潮流男装,潮流男装,2014/11/29,2021/8/28,71
3S-17,SELECTED,0,服装服饰,男装,潮流男装,潮流男装,2014/11/29,2022/6/28,4
3S-18,PANCOAT,0,生活精品,时尚潮流,潮流集合,潮流集合,2017/8/29,2020/8/28,47
3S-19,BOYLONDON,0,服装服饰,男女集合,国际休闲,国际休闲,2018/12/1,2020/11/30,5
3S-20,智蜂巢,0,生活精品,家居家用,家居家饰,家居家饰,2018/6/1,2020/8/28,64
3S-21,NBA,0,生活精品,运动,时尚运动,时尚运动,2017/8/29,2020/8/28,51
3S-22,素拼,1,服装服饰,男装,潮流男装,潮流男装,2018/2/14,2019/12/13,41
3S-23,vans,0,生活精品,鞋品箱包,鞋品,鞋类集合店,2014/11/29,2021/8/28,52
3S-24,小鲸的匹萨,0,餐饮美食,异国餐饮,意餐,意餐,2014/11/29,2020/8/28,53
3S-25,热风,0,生活精品,时尚潮流,潮流集合,潮流集合,2014/11/29,2021/8/28,21
3S-26,Apple,0,生活精品,数码电子,数码单品,数码单品,2018/3/1,2021/2/28,83
3S-27,华为,0,生活精品,数码电子,数码单品,数码单品,2017/8/29,2020/8/28,1
3S-28,阿吉豆,0,生活精品,杂品配饰,配饰,合成饰品,2014/11/29,2021/8/28,56
3S-29,Vaper 77,1,生活精品,杂品配饰,配饰,其他配饰店,2017/6/1,2019/10/31,54
3S-3,韩潮品象,0,体验业态,专业美护,美容美发,美容美发,2014/11/29,2024/1/31,100
3S-30,乐友,0,儿童业态,儿童零售,孕婴童用品,孕婴童用品,2018/4/1,2021/3/31,62
3S-31,名创优品,0,生活精品,杂品配饰,杂品集合,杂品集合,2019/8/25,2022/8/24,18
3S-32,雪乐山,0,体验业态,文化娱乐,体育竞技,体育竞技,2018/9/10,2021/9/9,89
3S-34,大玩家,0,体验业态,休闲娱乐,电玩,电玩,2014/11/29,2024/11/28,19
3S-35,启路文具,0,生活精品,杂品配饰,杂品集合,杂品集合,2014/11/29,2021/8/28,20
3S-36,盛世雅歌琴行,0,体验业态,文化娱乐,乐器器材,乐器器材,2017/11/1,2020/10/31,87
3S-37,Onitsuka Tiger,0,生活精品,鞋品箱包,鞋品,鞋类集合店,2017/8/29,2020/8/28,84
3S-38,THE SHOES BAR,0,生活精品,鞋品箱包,鞋品,鞋类集合店,2017/8/29,2020/8/28,55
3S-39,LEVI'S,0,生活精品,时尚潮流,潮流集合,潮流集合,2017/8/29,2020/8/28,42
3S-4,酷乐潮玩,0,生活精品,杂品配饰,杂品集合,杂品集合,2014/11/29,2021/8/28,12
3S-40,MLMR,0,服装服饰,男装,潮流男装,潮流男装,2017/8/29,2020/8/28,11
3S-41,JACK&JONES+MLMR,0,服装服饰,男女集合,国内休闲,国内休闲,2017/8/29,2020/8/28,103
3S-42,J.D.V,0,服装服饰,男装,时尚男装,商务休闲,2017/8/29,2020/8/28,116
3S-43,Degré Zéro,0,服装服饰,男装,时尚男装,商务休闲,2019/6/29,2021/6/28,104
3S-44,EVERLAST,0,生活精品,运动,专业运动,专业运动,2019/8/15,2022/8/14,164
3S-45,GXG,0,服装服饰,男装,潮流男装,潮流男装,2014/11/29,2021/8/28,70
3S-46,七匹狼,0,服装服饰,男装,时尚男装,商务休闲,2016/7/21,2021/7/26,35
3S-47,KING,0,服装服饰,男装,潮流男装,潮流男装,2017/6/1,2020/5/31,3
3S-48,罗宾汉,0,服装服饰,男装,时尚男装,商务休闲,2017/8/29,2020/8/28,108
3S-49,ABLE JEANS,0,生活精品,时尚潮流,潮流集合,潮流集合,2017/8/29,2020/8/28,43
3S-5,优禾生活,0,生活精品,烟酒食品,滋补保健,滋补保健,2017/8/29,2021/8/28,67
3S-50,索菲亚,0,体验业态,生活服务,家装定制,家装定制,2015/7/20,2021/7/19,136
3S-51,OSIM,0,生活精品,运动,运动配件/器材,按摩器械,2019/8/10,2022/8/9,165
3S-52,Find智慧钢琴学院,0,体验业态,文化娱乐,文娱培训,艺术培训,2019/5/1,2022/4/30,148
3S-53,尚品宅配,0,体验业态,生活服务,家装定制,家装定制,2014/11/29,2021/8/28,147
3S-54,佩霖国际自然养生会所,0,体验业态,专业美护,美容美发,美容美发,2014/11/29,2020/2/29,146
3S-6,品真阁,0,体验业态,生活服务,其他生活服务,其他生活服务,2014/11/29,2021/8/28,66
3S-7,Smile Froyo,0,餐饮美食,饮品烘焙,冰淇淋,冰淇淋,2017/8/29,2020/8/28,152
3S-8,NORTH LATITUDE 30,0,服装服饰,男装,时尚男装,商务休闲,2014/11/29,2020/8/28,68
3S-9,Mark fairwhale JEANS,0,服装服饰,男装,潮流男装,潮流男装,2019/8/29,2021/8/28,74
4S-10,DQ,0,餐饮美食,饮品烘焙,冰淇淋,冰淇淋,2017/8/29,2020/8/28,128
4S-11,巴贝拉,0,餐饮美食,洋快餐,洋快餐,洋快餐,2014/11/29,2023/7/31,127
4S-13,蓉李记,0,餐饮美食,简餐,特色小吃,特色小吃,2014/11/29,2021/6/28,91
4S-14,汉拿山,0,餐饮美食,异国餐饮,韩式烤肉,韩式烤肉,2014/11/29,2022/6/28,123
4S-15,天万,0,餐饮美食,异国餐饮,日式料理,日式料理,2014/11/29,2026/6/30,121
4S-16,金の锅,0,餐饮美食,锅类,汤锅,汤锅,2019/6/29,2024/6/28,157
4S-17,胡同串子,0,餐饮美食,锅类,川渝火锅,川渝火锅,2019/8/1,2024/7/31,168
4S-18,北李妈妈菜,0,餐饮美食,中餐,时尚融合菜,时尚融合菜,2019/6/29,2024/6/28,169
4S-19,云海肴,0,餐饮美食,中餐,云贵菜,云贵菜,2014/11/29,2022/6/28,105
4S-20,金吉鸟,0,体验业态,休闲娱乐,健身会所,健身会所,2015/10/15,2025/10/14,163
4S-21,阿三生煎包,0,餐饮美食,简餐,生煎,生煎,2014/11/29,2021/6/28,131
4S-22,穿巷,0,餐饮美食,简餐,特色小吃,特色小吃,2016/12/1,2020/11/28,155
4S-23,好面坊,0,餐饮美食,简餐,中式面,中式面,2017/7/1,2022/6/30,144
4S-24,大娘水饺,0,餐饮美食,简餐,水饺,水饺,2019/1/1,2023/12/31,112
4S-25,蜀江烤鱼,0,餐饮美食,烧烤,烤鱼,烤鱼,2014/11/29,2026/6/30,154
4S-26,许留山,0,餐饮美食,饮品烘焙,甜品,甜品,2014/11/29,2020/8/28,140
4S-27,留下,0,餐饮美食,自助餐,西式自助,西式自助,2019/6/29,2024/6/28,167
4S-28,一品焖锅,0,餐饮美食,锅类,焖锅,焖锅,2018/10/1,2023/9/30,149
4S-29,呱呱蛙,0,餐饮美食,锅类,干锅,干锅,2019/6/29,2027/6/28,170
4S-3,金掌勺,0,餐饮美食,中餐,东北菜,东北菜,2016/12/1,2021/11/30,69
4S-30,旺顺阁,0,餐饮美食,中餐,时尚融合菜,时尚融合菜,2017/12/1,2024/6/28,161
4S-31,外婆家,0,餐饮美食,中餐,杭帮菜,杭帮菜,2014/11/29,2022/11/28,88
4S-4,望湘园,1,餐饮美食,中餐,湘菜,湘菜,2014/11/29,2019/10/28,141
4S-5,那时小馆,0,餐饮美食,中餐,鲁京菜,鲁京菜,2019/8/15,2027/8/14,124
4S-6,MQ,1,服装服饰,女装,少淑女,少淑女,2014/11/29,2019/11/28,72
4S-7,我家,0,餐饮美食,异国餐饮,法餐,法餐,2014/11/29,2022/6/28,133
4S-8,辣一天,0,餐饮美食,中餐,川菜,川菜,2017/3/1,2020/2/29,125
4S-9,疯卷春饼,0,餐饮美食,简餐,特色小吃,特色小吃,2018/3/1,2022/2/28,60
